mouse_gene_name	mouse_gene_id	human_gene_name	human_gene_id	ID	log2fc	pvalue	adj_pvalue
Fmod	ENSMUSG00000041559	FMOD	ENSG00000122176	14264	-0.734663571	2.54e-05	0.001212991
Ahctf1	ENSMUSG00000026491	AHCTF1	ENSG00000153207	NA	NA	NA	NA
Snrpe	ENSMUSG00000090553	SNRPE	ENSG00000182004	20643	1.25709041	1.36e-07	4.93e-05
Cnih4	ENSMUSG00000062169	CNIH4	ENSG00000143771	98417	0.459079688	0.007198872	0.03650215
Rbm34	ENSMUSG00000033931	RBM34	ENSG00000188739	52202	0.878954529	0.00033589	0.005533889
A130010J15Rik	ENSMUSG00000079144	C1orf74	ENSG00000162757	NA	NA	NA	NA
Prelp	ENSMUSG00000041577	PRELP	ENSG00000188783	116847	-0.832392973	1.15e-05	0.000775181
Bms1	ENSMUSG00000030138	BMS1	ENSG00000165733	213895	0.434668486	0.003925054	0.024377336
Cxcl12	ENSMUSG00000061353	CXCL12	ENSG00000107562	20315	-0.397664288	0.000331312	0.005519544
Parg	ENSMUSG00000021911	PARG	ENSG00000227345	26430	0.509828588	0.005744047	0.031321049
Mrpl43	ENSMUSG00000025208	MRPL43	ENSG00000055950	94067	-0.418317329	0.011193928	0.049083103
Acbd5	ENSMUSG00000026781	ACBD5	ENSG00000107897	74159	0.927353651	5.19e-05	0.001854921
Herc4	ENSMUSG00000020064	HERC4	ENSG00000148634	67345	0.657666716	0.000868488	0.00953587
Wee1	ENSMUSG00000031016	WEE1	ENSG00000166483	22390	0.605945987	0.000507592	0.006900464
Arid5b	ENSMUSG00000019947	ARID5B	ENSG00000150347	71371	-0.619615899	4.02e-07	0.000103327
Kif11	ENSMUSG00000012443	KIF11	ENSG00000138160	16551	0.608735719	0.000256712	0.004793667
Pnpla2	ENSMUSG00000025509	PNPLA2	ENSG00000177666	66853	-0.627230158	0.000400214	0.006061049
Kif20b	ENSMUSG00000024795	KIF20B	ENSG00000138182	240641	0.942762035	9.81e-05	0.002797826
Yme1l1	ENSMUSG00000026775	YME1L1	ENSG00000136758	27377	0.716506316	0.000249322	0.004715238
Usp47	ENSMUSG00000059263	USP47	ENSG00000170242	74996	0.479982416	0.002797238	0.019772063
2310057M21Rik	ENSMUSG00000040177	C10orf88	ENSG00000119965	68277	0.472618193	0.00334304	0.022142727
Rplp2	ENSMUSG00000025508	RPLP2	ENSG00000177600	67186	-0.575248874	0.000153528	0.003601519
Smndc1	ENSMUSG00000025024	SMNDC1	ENSG00000119953	76479	0.412462846	0.010293547	0.046529644
Smc3	ENSMUSG00000024974	SMC3	ENSG00000108055	13006	0.582403831	0.002724033	0.019462318
Tssc4	ENSMUSG00000045752	TSSC4	ENSG00000184281	56844	-0.686961408	0.001671168	0.014309775
Atad1	ENSMUSG00000013662	ATAD1	ENSG00000138138	67979	0.952538643	9.4e-06	0.000705609
Slc35c1	ENSMUSG00000049922	SLC35C1	ENSG00000181830	228368	-0.593296399	0.002358954	0.017672534
Bag3	ENSMUSG00000030847	BAG3	ENSG00000151929	29810	-0.701626384	9.3e-06	0.000702851
Kif5b	ENSMUSG00000006740	KIF5B	ENSG00000170759	16573	0.553258563	0.001560801	0.013737556
Ate1	ENSMUSG00000030850	ATE1	ENSG00000107669	11907	0.468150645	0.00804775	0.039042507
Ldb3	ENSMUSG00000021798	LDB3	ENSG00000122367	24131	-1.057349842	2.05e-05	0.001063626
Tnks2	ENSMUSG00000024811	TNKS2	ENSG00000107854	74493	0.449079911	0.002234649	0.017117108
Kif18a	ENSMUSG00000027115	KIF18A	ENSG00000121621	228421	0.786218508	0.001449162	0.013095962
Lzts2	ENSMUSG00000035342	LZTS2	ENSG00000107816	226154	-0.509723628	0.011147725	0.04897518
Trp53i11	ENSMUSG00000068735	TP53I11	ENSG00000175274	277414	-0.51041168	0.006991559	0.035903576
Psmd13	ENSMUSG00000025487	PSMD13	ENSG00000185627	23997	0.384268587	0.008009917	0.038924539
Zmiz1	ENSMUSG00000007817	ZMIZ1	ENSG00000108175	328365	-0.483437326	0.000224179	0.004451956
Bloc1s2	ENSMUSG00000057506	BLOC1S2	ENSG00000196072	73689	0.732770107	7.79e-05	0.002425989
Eif4g2	ENSMUSG00000005610	EIF4G2	ENSG00000110321	13690	0.58025893	0.00038926	0.00597113
Far1	ENSMUSG00000030759	FAR1	ENSG00000197601	67420	0.54072644	0.00597151	0.032218114
Vps26a	ENSMUSG00000020078	VPS26A	ENSG00000122958	30930	0.637764771	0.000214296	0.004335455
Tfam	ENSMUSG00000003923	TFAM	ENSG00000108064	21780	0.823219867	0.000214463	0.004335455
Psma1	ENSMUSG00000030751	PSMA1	ENSG00000129084	26440	0.509129349	0.001823096	0.01506746
Hsd17b12	ENSMUSG00000027195	HSD17B12	ENSG00000149084	56348	0.462313551	0.00378906	0.023795214
Gtf2h1	ENSMUSG00000006599	GTF2H1	ENSG00000110768	14884	0.457592885	0.003554707	0.022897721
Sema4g	ENSMUSG00000025207	SEMA4G	ENSG00000095539	26456	-0.602501391	0.010940948	0.048444781
Bicc1	ENSMUSG00000014329	BICC1	ENSG00000122870	83675	-0.443145073	0.001028109	0.01058182
Marveld1	ENSMUSG00000044345	MARVELD1	ENSG00000155254	277010	-0.407112221	0.006709938	0.035027305
Myod1	ENSMUSG00000009471	MYOD1	ENSG00000129152	17927	-0.856341432	1.74e-05	0.000972667
Zfp248	ENSMUSG00000030145	ZNF248	ENSG00000198105	72720	0.614804979	0.004576889	0.027138372
P4ha1	ENSMUSG00000019916	P4HA1	ENSG00000122884	18451	0.417730686	0.000715038	0.008475083
Dnajb12	ENSMUSG00000020109	DNAJB12	ENSG00000148719	56709	-0.433478344	0.005235453	0.02969834
Gpam	ENSMUSG00000024978	GPAM	ENSG00000119927	14732	-0.451176973	0.005957623	0.032174022
Arhgap1	ENSMUSG00000027247	ARHGAP1	ENSG00000175220	228359	-0.345786771	0.002762617	0.019663264
Ap3m1	ENSMUSG00000021824	AP3M1	ENSG00000185009	55946	0.645600951	0.000285015	0.005134832
Tm9sf3	ENSMUSG00000025016	TM9SF3	ENSG00000077147	107358	0.609451416	0.000144975	0.003503033
Rpe	ENSMUSG00000026005	RPEL1	ENSG00000235376	66646	0.7298161	0.000247804	0.004715238
Rrp12	ENSMUSG00000035049	RRP12	ENSG00000052749	107094	-0.456575314	0.007076252	0.036168223
Sirt1	ENSMUSG00000020063	SIRT1	ENSG00000096717	93759	0.722096838	0.001149028	0.011369117
Hnrnpf	ENSMUSG00000042079	HNRNPF	ENSG00000169813	98758	0.410663204	0.004043613	0.02484539
Chuk	ENSMUSG00000025199	CHUK	ENSG00000213341	12675	0.52862139	0.00476412	0.027881492
Zfp503	ENSMUSG00000039081	ZNF503	ENSG00000165655	218820	-0.418327413	0.007942211	0.038747527
Ckap5	ENSMUSG00000040549	CKAP5	ENSG00000175216	75786	0.50037655	0.001272849	0.012145998
Nanos1	ENSMUSG00000072437	NANOS1	ENSG00000188613	332397	1.232754632	3.04e-07	8.77e-05
Chst1	ENSMUSG00000027221	CHST1	ENSG00000175264	76969	-0.721215286	0.001958869	0.015769426
Copb1	ENSMUSG00000030754	COPB1	ENSG00000129083	70349	0.569787952	0.000319002	0.005450631
Zwint	ENSMUSG00000019923	ZWINT	ENSG00000122952	52696	0.630955766	8.5e-05	0.002538507
Fam204a	ENSMUSG00000057858	FAM204A	ENSG00000165669	76539	0.747188442	0.006736547	0.035085273
Pprc1	ENSMUSG00000055491	PPRC1	ENSG00000148840	226169	-0.435275943	0.002603134	0.018898316
Tmem86a	ENSMUSG00000010307	TMEM86A	ENSG00000151117	67893	-0.546397104	0.003311303	0.022023196
Creb3l1	ENSMUSG00000027230	CREB3L1	ENSG00000157613	26427	-0.451100851	0.001881663	0.015386732
Irf7	ENSMUSG00000025498	IRF7	ENSG00000185507	54123	-0.558996063	0.007310718	0.036864617
Wapl	ENSMUSG00000041408	WAPL	ENSG00000062650	218914	0.727507905	0.000358453	0.005695834
Api5	ENSMUSG00000027193	API5	ENSG00000166181	11800	0.731767632	9.98e-05	0.002821623
Pgap2	ENSMUSG00000030990	PGAP2	ENSG00000148985	233575	-0.436721535	0.006183362	0.033028777
Timm23	ENSMUSG00000013701	TIMM23	ENSG00000265354	53600	0.341405595	0.007262566	0.036703992
Timm23	ENSMUSG00000013701	TIMM23B	ENSG00000204152	53600	0.341405595	0.007262566	0.036703992
Timm23	ENSMUSG00000013701	TIMM23B-AGAP6	ENSG00000178440	53600	0.341405595	0.007262566	0.036703992
Anxa8	ENSMUSG00000021950	ANXA8L1	ENSG00000264230	11752	0.561476408	0.000756439	0.008799075
Anxa8	ENSMUSG00000021950	ANXA8	ENSG00000265190	11752	0.561476408	0.000756439	0.008799075
Zswim8	ENSMUSG00000021819	ZSWIM8	ENSG00000214655	268721	-0.450761023	0.010811958	0.048038316
Ghitm	ENSMUSG00000041028	GHITM	ENSG00000165678	66092	0.681855599	1.01e-05	0.000735631
Pten	ENSMUSG00000013663	PTEN	ENSG00000171862	19211	0.730567548	0.000124869	0.003180198
Adk	ENSMUSG00000039197	ADK	ENSG00000156110	11534	0.813698868	5.88e-05	0.001988452
Btaf1	ENSMUSG00000040565	BTAF1	ENSG00000095564	107182	0.586438875	0.001553695	0.013710508
Cd59a	ENSMUSG00000032679	AL049629.2	ENSG00000284969	12509	0.711988522	0.004613111	0.027209861
Cd59a	ENSMUSG00000032679	CD59	ENSG00000085063	12509	0.711988522	0.004613111	0.027209861
Slk	ENSMUSG00000025060	SLK	ENSG00000065613	20874	0.473772383	0.005063905	0.029136213
Pik3ap1	ENSMUSG00000025017	PIK3AP1	ENSG00000155629	83490	-0.588533873	0.006591341	0.034584578
Chchd1	ENSMUSG00000063787	CHCHD1	ENSG00000172586	66121	0.431599779	0.01075888	0.047902328
Prdx3	ENSMUSG00000024997	PRDX3	ENSG00000165672	11757	0.457343503	0.00416685	0.025416429
Gbf1	ENSMUSG00000025224	GBF1	ENSG00000107862	107338	-0.31419342	0.009776211	0.044912336
Rab18	ENSMUSG00000073639	RAB18	ENSG00000099246	19330	1.200335737	4.08e-08	2.19e-05
Bmpr1a	ENSMUSG00000021796	BMPR1A	ENSG00000107779	12166	0.645417397	0.000325687	0.005506362
Nucb2	ENSMUSG00000030659	NUCB2	ENSG00000070081	53322	0.727687326	0.001445138	0.013095962
Cstf3	ENSMUSG00000027176	CSTF3	ENSG00000176102	228410	0.672076652	2.94e-05	0.001354801
Sar1a	ENSMUSG00000020088	SAR1A	ENSG00000079332	20224	0.677139263	2e-05	0.001053952
Unc5b	ENSMUSG00000020099	UNC5B	ENSG00000107731	107449	-0.47739135	0.00928686	0.043228623
Cul2	ENSMUSG00000024231	CUL2	ENSG00000108094	71745	0.591985567	0.001458033	0.013155007
Apbb1	ENSMUSG00000037032	APBB1	ENSG00000166313	11785	-0.535949286	0.008507409	0.040590437
Ipo7	ENSMUSG00000066232	IPO7	ENSG00000205339	233726	0.750174247	0.000104776	0.002869427
Eif3a	ENSMUSG00000024991	EIF3A	ENSG00000107581	13669	0.486173444	0.003757931	0.023694269
Itgb1	ENSMUSG00000025809	ITGB1	ENSG00000150093	16412	0.601862698	0.000194933	0.004119749
Mdk	ENSMUSG00000027239	MDK	ENSG00000110492	17242	-0.581750222	0.003215278	0.021595121
Ctr9	ENSMUSG00000005609	CTR9	ENSG00000198730	22083	0.395684256	0.007569197	0.037685699
Ddx50	ENSMUSG00000020076	DDX50	ENSG00000107625	94213	0.653458175	0.000347194	0.005594505
Smpd1	ENSMUSG00000037049	SMPD1	ENSG00000166311	20597	-0.375746869	0.007747496	0.038145531
Ppa1	ENSMUSG00000020089	PPA1	ENSG00000180817	67895	0.517556589	0.003418173	0.022390127
Psap	ENSMUSG00000004207	PSAP	ENSG00000197746	19156	-0.421348145	0.001389163	0.012842341
B230118H07Rik	ENSMUSG00000027165	IFTAP	ENSG00000166352	68170	0.608314786	0.009850299	0.045197379
Cacul1	ENSMUSG00000033417	CACUL1	ENSG00000151893	78832	0.521567478	0.006050999	0.032542323
Nsmce4a	ENSMUSG00000040331	NSMCE4A	ENSG00000107672	67872	0.435404417	0.008560105	0.04077275
Dchs1	ENSMUSG00000036862	DCHS1	ENSG00000166341	233651	-0.613926314	0.000221255	0.004409426
Noc3l	ENSMUSG00000024999	NOC3L	ENSG00000173145	57753	0.48730404	0.010707637	0.047749701
Vdac2	ENSMUSG00000021771	VDAC2	ENSG00000165637	22334	0.420769848	0.002571283	0.018703259
Immp1l	ENSMUSG00000042670	IMMP1L	ENSG00000148950	66541	0.872832297	0.000200764	0.004179344
Rpp30	ENSMUSG00000024800	RPP30	ENSG00000148688	54364	0.530377332	0.001794375	0.014978245
Tspan18	ENSMUSG00000027217	TSPAN18	ENSG00000157570	241556	-0.527729089	0.002847622	0.020011058
Mapk8	ENSMUSG00000021936	MAPK8	ENSG00000107643	26419	0.575310051	0.003377556	0.022227515
Pik3c2a	ENSMUSG00000030660	PIK3C2A	ENSG00000011405	18704	0.673796095	0.000914935	0.009880513
Ldlrad3	ENSMUSG00000048058	LDLRAD3	ENSG00000179241	241576	-0.428945889	0.003557283	0.022897721
Shoc2	ENSMUSG00000024976	SHOC2	ENSG00000108061	56392	0.435021649	0.011217414	0.049105241
Ifitm3	ENSMUSG00000025492	IFITM2	ENSG00000185201	66141	-0.486123585	0.007887337	0.03857456
Ifitm3	ENSMUSG00000025492	IFITM1	ENSG00000185885	66141	-0.486123585	0.007887337	0.03857456
Ifitm3	ENSMUSG00000025492	IFITM3	ENSG00000142089	66141	-0.486123585	0.007887337	0.03857456
Slc25a22	ENSMUSG00000019082	SLC25A22	ENSG00000177542	68267	-0.634079089	0.000469256	0.006628025
Adam8	ENSMUSG00000025473	ADAM8	ENSG00000151651	11501	-0.627904701	0.000490501	0.006768437
Eif4ebp2	ENSMUSG00000020091	EIF4EBP2	ENSG00000148730	13688	-0.414093574	0.001767912	0.014863824
Ano3	ENSMUSG00000074968	ANO3	ENSG00000134343	228432	0.603527737	0.00156499	0.013738631
Polr2l	ENSMUSG00000038489	POLR2L	ENSG00000177700	66491	-0.518859794	0.000992959	0.01032475
Gdf10	ENSMUSG00000021943	GDF10	ENSG00000266524	14560	-0.743150669	1.27e-05	0.00080618
Prkg1	ENSMUSG00000052920	PRKG1	ENSG00000185532	19091	0.610325133	0.001708351	0.014539703
Mrgpra6	ENSMUSG00000052303	MRGPRX3	ENSG00000179826	381886	0.581541153	0.001220762	0.011839601
Mrgpra6	ENSMUSG00000052303	MRGPRX4	ENSG00000179817	381886	0.581541153	0.001220762	0.011839601
Mrgpra6	ENSMUSG00000052303	MRGPRX1	ENSG00000170255	381886	0.581541153	0.001220762	0.011839601
Mrgpra6	ENSMUSG00000052303	MRGPRX2	ENSG00000183695	381886	0.581541153	0.001220762	0.011839601
Synpo2l	ENSMUSG00000039376	SYNPO2L	ENSG00000166317	68760	-0.846162479	9.58e-05	0.002753144
Hells	ENSMUSG00000025001	HELLS	ENSG00000119969	15201	0.831403892	0.000180303	0.003949823
Cdk1	ENSMUSG00000019942	CDK1	ENSG00000170312	12534	0.46810365	0.000420646	0.006232204
Arl14ep	ENSMUSG00000027122	ARL14EP	ENSG00000152219	212772	0.477860995	0.010569072	0.047373158
Zranb1	ENSMUSG00000030967	ZRANB1	ENSG00000019995	360216	0.63534698	0.011194086	0.049083103
Ccdc186	ENSMUSG00000035173	CCDC186	ENSG00000165813	213993	0.775607439	0.000429815	0.00631676
Cyp2e1	ENSMUSG00000025479	CYP2E1	ENSG00000130649	13106	-0.603316438	0.005617138	0.030913478
Rufy2	ENSMUSG00000020070	RUFY2	ENSG00000204130	70432	0.430758476	0.011500073	0.049842973
Tpp1	ENSMUSG00000030894	TPP1	ENSG00000166340	12751	-0.502818758	5.8e-05	0.001978871
Inpp5f	ENSMUSG00000042105	INPP5F	ENSG00000198825	101490	0.49042214	0.011308677	0.049335801
Ldb1	ENSMUSG00000025223	LDB1	ENSG00000198728	16825	-0.46891656	0.00669513	0.034966384
Eif3m	ENSMUSG00000027170	EIF3M	ENSG00000149100	98221	0.777360172	5.2e-06	0.000496647
Fam45a	ENSMUSG00000024993	DENND10	ENSG00000119979	67894	0.584569956	0.00076986	0.0088727
Deaf1	ENSMUSG00000058886	DEAF1	ENSG00000177030	54006	-0.540121816	0.011042804	0.048666136
Rhog	ENSMUSG00000073982	RHOG	ENSG00000177105	56212	-0.598739361	0.001728501	0.014655816
Lin7c	ENSMUSG00000027162	LIN7C	ENSG00000148943	22343	0.783085562	2.77e-05	0.001312083
Nckap5l	ENSMUSG00000023009	NCKAP5L	ENSG00000167566	380969	-0.609743526	0.001319698	0.012506709
Atxn2	ENSMUSG00000042605	ATXN2	ENSG00000204842	20239	-0.469452565	9.19e-05	0.00267785
Atf7ip	ENSMUSG00000030213	ATF7IP	ENSG00000171681	54343	-0.414704314	0.000856072	0.00946893
Serping1	ENSMUSG00000023224	SERPING1	ENSG00000149131	12258	-0.450853681	0.010393104	0.046810541
Fam76b	ENSMUSG00000037808	FAM76B	ENSG00000077458	72826	0.686374819	0.001899475	0.015464995
Aldh2	ENSMUSG00000029455	AC002996.1	ENSG00000257767	11669	-0.661619644	0.000451235	0.00648902
Aldh2	ENSMUSG00000029455	ALDH2	ENSG00000111275	11669	-0.661619644	0.000451235	0.00648902
Mtmr2	ENSMUSG00000031918	MTMR2	ENSG00000087053	77116	0.400348628	0.007841752	0.038490904
Kmt2d	ENSMUSG00000048154	KMT2D	ENSG00000167548	381022	-0.552879034	0.000577948	0.007428878
